,City,lat,lon,temp,temp_max,humidity,cloudiness,wind_speed,country
308,Ponta do Sol,32.67,-17.1,60.37,62.6,72.0,40.0,6.93,PT
310,Boussé,12.66,-1.89,102.2,102.2,14.0,25.0,6.93,BF
311,Poim,53.03,43.19,42.82,42.82,76.0,82.0,10.04,RU
312,Santa Rosa,14.31,121.11,84.06,84.99,70.0,20.0,9.17,PH
313,Buta,2.79,24.73,91.89,91.89,39.0,63.0,3.47,CD
314,Djibouti,11.5,42.5,77.56,77.56,62.0,100.0,15.14,DJ
315,Grindavik,63.84,-22.43,40.15,41.0,65.0,75.0,14.99,IS
316,Seddon,-37.81,144.89,69.33,73.99,40.0,40.0,10.29,AU
317,Sola,-13.88,167.55,80.92,80.92,81.0,97.0,12.17,VU
318,Washougal,45.58,-122.35,44.91,46.99,87.0,90.0,3.24,US
320,Laguna,38.42,-121.42,45.16,50.0,81.0,90.0,5.82,US
321,Taltal,-25.4,-70.48,69.91,69.91,57.0,0.0,6.49,CL
322,Fonte Boa,-2.5,-66.27,86.36,86.36,64.0,72.0,3.62,BR
323,Salinas,36.68,-121.66,45.25,50.0,87.0,90.0,5.82,US
324,Toora-Khem,52.47,96.11,24.44,24.44,81.0,100.0,2.01,RU
326,Iqaluit,63.75,-68.51,-5.39,-5.01,70.0,20.0,2.24,CA
328,Port-Gentil,-0.72,8.78,89.6,89.6,75.0,40.0,13.87,GA
329,Constitución,-35.33,-72.42,66.2,66.2,60.0,0.0,4.12,CL
330,Port Lincoln,-34.73,135.87,74.62,74.62,37.0,97.0,14.97,AU
331,Ried,48.48,11.26,59.25,63.0,41.0,19.0,6.93,DE
332,Rome,43.21,-75.46,38.98,43.0,64.0,1.0,6.93,US
333,Abnūb,27.27,31.15,73.4,73.4,46.0,0.0,13.87,EG
336,Dicabisagan,17.08,122.42,78.49,78.49,80.0,3.0,7.92,PH
337,Arrondissement d'Ajaccio,42.0,8.92,59.2,60.8,76.0,86.0,8.05,FR
338,Lishu,43.3,124.33,36.0,36.0,58.0,0.0,13.02,CN
339,Port Shepstone,-30.74,30.45,76.82,76.82,70.0,0.0,20.38,ZA
340,Ludhiana,30.9,75.85,67.46,67.46,55.0,8.0,5.46,IN
341,Äänekoski,62.69,25.82,41.0,41.0,35.0,95.0,17.22,FI
342,Norrtälje,59.76,18.7,44.22,48.99,35.0,94.0,19.46,SE
343,Vao,-22.67,167.48,74.97,74.97,79.0,78.0,24.07,NC
344,Bayan,46.08,127.4,39.0,39.0,26.0,0.0,11.68,CN
345,Babati,-4.22,35.75,69.91,69.91,57.0,98.0,2.04,TZ
347,Hobyo,5.35,48.53,84.51,84.51,67.0,86.0,14.63,SO
348,Malibu,34.01,-118.81,45.57,51.8,81.0,20.0,5.82,US
349,Berlevåg,70.86,29.09,28.49,28.49,86.0,100.0,29.97,NO
350,Abu Samrah,35.3,37.18,58.51,58.51,55.0,4.0,23.6,SY
351,Yeppoon,-23.13,150.73,73.4,73.4,83.0,75.0,6.93,AU
352,Demba,-5.51,22.27,88.68,88.68,38.0,47.0,2.37,CD
353,Tilichiki,60.47,166.1,16.65,16.65,96.0,87.0,10.4,RU
354,Shimoda,34.67,138.95,50.79,60.8,87.0,75.0,5.82,JP
355,Omsukchan,62.53,155.8,9.79,9.79,87.0,100.0,7.23,RU
356,Baruun-Urt,46.68,113.28,34.45,34.45,38.0,0.0,17.13,MN
357,Sémbé,1.65,14.58,96.04,96.04,30.0,34.0,3.71,CG
358,Vardø,70.37,31.11,24.8,24.8,85.0,75.0,38.03,NO
359,Takoradze,4.88,-1.76,85.51,85.51,71.0,44.0,9.86,GH
360,Kismayo,-0.36,42.55,85.8,85.8,68.0,48.0,11.12,SO
362,San Patricio,19.22,-104.7,80.01,80.01,38.0,9.0,2.46,MX
363,Suffolk,40.87,-72.8,48.79,52.0,37.0,1.0,6.93,US
364,Lehigh Acres,26.63,-81.62,74.16,77.0,83.0,1.0,6.93,US
365,Huangzhai,38.08,112.66,48.2,48.2,45.0,100.0,2.24,CN
366,Hilton Head,32.22,-80.75,69.71,72.0,94.0,1.0,6.93,US
367,Padang,-0.95,100.35,80.08,80.08,77.0,100.0,3.78,ID
368,Acapulco de Juárez,16.86,-99.89,73.4,73.4,94.0,5.0,4.7,MX
369,Sept-Îles,50.2,-66.38,26.6,26.6,45.0,20.0,9.17,CA
370,Sambava,-14.27,50.17,76.84,76.84,89.0,100.0,4.7,MG
372,Sørland,67.67,12.69,28.4,28.4,58.0,75.0,27.51,NO
373,Havre-St-Pierre,50.23,-63.6,26.6,26.6,58.0,1.0,13.87,CA
376,Tsimmerbude,54.67,20.13,57.2,57.2,33.0,0.0,8.95,RU
377,Pellérd,46.03,18.15,62.4,62.6,39.0,3.0,4.7,HU
378,Rocky Mountain House,52.37,-114.92,16.88,16.88,86.0,100.0,6.02,CA
379,Juneau,58.3,-134.42,26.6,26.6,73.0,90.0,3.36,US
380,Ballina,-28.87,153.57,63.28,64.99,93.0,40.0,3.69,AU
381,Broken Hill,-31.95,141.43,71.6,71.6,46.0,77.0,6.93,AU
382,Tuatapere,-46.13,167.68,44.01,44.01,92.0,2.0,1.01,NZ
383,Znamenskoye,57.13,73.83,31.86,31.86,95.0,99.0,7.36,RU
384,Nuuk,64.18,-51.72,32.0,32.0,96.0,90.0,19.46,GL
385,Qingdao,36.1,120.37,43.52,44.01,48.0,42.0,6.71,CN
386,Rumphi,-11.02,33.86,74.41,74.41,57.0,59.0,3.47,MW
387,Nebolchi,59.12,33.35,46.65,46.65,59.0,95.0,5.32,RU
388,Kota Kinabalu,5.97,116.07,78.91,79.0,88.0,20.0,5.82,MY
389,Nakonde,-9.34,32.74,69.94,69.94,60.0,98.0,2.68,ZM
390,Korla,41.76,86.15,46.99,46.99,96.0,95.0,1.99,CN
391,Cañon City,38.44,-105.24,28.18,37.99,68.0,90.0,8.05,US
392,Timrå,62.49,17.33,38.28,39.2,40.0,24.0,23.04,SE
393,Winnemucca,40.97,-117.74,34.05,35.01,59.0,90.0,2.57,US
394,Kavieng,-2.57,150.8,82.02,82.02,74.0,71.0,2.21,PG
395,Suruç,36.98,38.42,48.2,48.2,100.0,75.0,9.17,TR
396,Hūn,29.13,15.95,84.69,84.69,13.0,26.0,10.36,LY
397,Leyva Solano,25.67,-108.64,54.05,57.99,73.0,0.0,5.99,MX
398,Hasaki,35.73,140.83,45.9,46.4,93.0,75.0,20.8,JP
400,Carlisle,40.2,-77.19,45.28,52.0,87.0,90.0,9.17,US
401,Mahibadhoo,3.78,72.97,84.27,84.27,68.0,7.0,8.19,MV
403,Ereymentau,51.62,73.1,23.29,23.29,93.0,36.0,7.94,KZ
404,Kalashnikovo,57.28,35.23,50.41,50.41,57.0,32.0,5.1,RU
405,Waingapu,-9.66,120.26,79.75,79.75,79.0,100.0,5.39,ID
406,Hofn,64.25,-15.21,36.18,36.18,71.0,29.0,5.68,IS
407,Cascais,38.7,-9.42,62.11,64.99,42.0,20.0,9.17,PT
408,San Carlos,9.66,-68.58,94.64,94.64,29.0,34.0,4.16,VE
409,Manali,13.17,80.27,84.09,84.2,66.0,20.0,6.93,IN
410,Ternate,0.8,127.4,80.71,80.71,79.0,99.0,2.59,ID
411,Alto Araguaia,-17.31,-53.22,80.33,80.33,60.0,70.0,9.91,BR
412,Nsoko,-27.03,31.95,76.32,76.32,58.0,59.0,8.43,SZ
413,Arrifes,37.77,-25.7,59.0,59.0,87.0,75.0,14.99,PT
414,Varhaug,58.61,5.65,42.53,44.6,52.0,20.0,27.51,NO
416,Fuyu,45.18,124.82,35.35,35.35,62.0,0.0,11.74,CN
417,Sitka,57.05,-135.33,32.97,33.8,86.0,90.0,8.34,US
418,Wonthaggi,-38.6,145.59,65.01,72.0,59.0,93.0,8.88,AU
419,Bulgan,48.81,103.53,31.24,31.24,43.0,82.0,3.96,MN
420,Faya,18.39,42.45,76.1,77.0,33.0,20.0,14.99,SA
421,Springbok,-29.66,17.89,72.39,72.39,24.0,0.0,16.82,ZA
422,East London,-33.02,27.91,78.8,78.8,61.0,0.0,13.87,ZA
423,Soe,-9.86,124.28,67.5,67.5,81.0,95.0,2.48,ID
424,Sinnamary,5.38,-52.95,82.04,82.04,79.0,94.0,11.41,GF
425,Provideniya,64.38,-173.3,-2.96,-2.96,82.0,0.0,9.33,RU
426,Hutang,31.53,119.48,46.4,46.4,75.0,95.0,2.24,CN
427,Esim,4.87,-2.24,85.19,85.19,71.0,62.0,9.15,GH
428,Neuquén,-38.95,-68.06,64.4,64.4,52.0,0.0,8.05,AR
429,Formosa do Rio Preto,-11.05,-45.19,81.37,81.37,61.0,75.0,7.47,BR
430,Guaíra,-20.32,-48.31,81.0,81.0,62.0,43.0,8.86,BR
431,Omboué,-1.57,9.26,83.71,83.71,79.0,50.0,10.18,GA
432,Sobolevo,54.43,31.9,53.29,53.29,54.0,100.0,4.79,RU
434,Tevaitoa,-16.78,-151.5,83.34,83.34,70.0,28.0,7.94,PF
435,Teocaltiche,21.43,-102.58,53.6,53.6,50.0,5.0,2.24,MX
436,Marakkanam,12.2,79.95,79.72,79.72,71.0,0.0,9.82,IN
437,Tumen,42.97,129.84,29.64,29.64,81.0,0.0,1.9,CN
438,Millinocket,45.66,-68.71,36.77,41.0,55.0,1.0,6.93,US
439,Akhmeta,42.03,45.21,62.6,62.6,45.0,22.0,12.75,GE
440,Geraldton,-28.77,114.6,68.86,69.8,64.0,40.0,13.87,AU
441,Teya,60.38,92.63,24.42,24.42,93.0,100.0,9.55,RU
442,Nurota,40.56,65.69,64.4,64.4,13.0,0.0,2.24,UZ
443,Basco,20.45,121.97,79.21,79.21,80.0,33.0,7.81,PH
444,Tabuk,17.42,121.44,75.04,75.04,76.0,15.0,0.63,PH
445,Catuday,16.29,119.81,79.07,79.07,80.0,5.0,11.86,PH
446,Amriswil,47.55,9.3,57.83,62.01,54.0,57.0,9.17,CH
447,Proletariy,58.43,31.7,49.53,49.53,54.0,89.0,4.97,RU
448,Khani,41.96,42.96,73.4,73.4,27.0,75.0,14.99,GE
449,Portland,45.52,-122.68,45.0,46.99,87.0,90.0,6.93,US
450,Castro Urdiales,43.38,-3.22,58.32,62.6,48.0,20.0,6.93,ES
451,Likasi,-10.98,26.73,73.83,73.83,58.0,69.0,4.63,CD
452,Cartagena del Chairá,1.33,-74.84,84.0,84.0,71.0,60.0,2.75,CO
453,Manokwari,-0.87,134.08,77.83,77.83,85.0,100.0,2.8,ID
454,Eyl,7.98,49.82,82.69,82.69,73.0,100.0,17.0,SO
455,Yaguajay,22.33,-79.24,78.22,78.22,58.0,2.0,14.97,CU
456,Yulara,-25.24,130.99,82.4,82.4,21.0,0.0,3.24,AU
457,Boyuibe,-20.42,-63.28,68.22,68.22,70.0,98.0,0.16,BO
458,Nacala,-14.54,40.67,80.98,80.98,83.0,55.0,11.25,MZ
459,Thinadhoo,0.53,72.93,84.45,84.45,63.0,69.0,7.25,MV
460,Corumbá,-19.01,-57.65,86.0,86.0,70.0,20.0,10.29,BR
461,Buchanan,5.88,-10.05,91.4,91.4,66.0,75.0,6.93,LR
462,Atikokan,48.76,-91.62,34.95,34.95,74.0,84.0,6.8,CA
463,Ostrovnoy,68.05,39.51,30.99,30.99,94.0,75.0,20.07,RU
464,Viedma,-40.81,-63.0,75.88,75.88,44.0,0.0,14.65,AR
465,Chumikan,54.72,135.31,14.58,14.58,84.0,0.0,14.03,RU
466,Las Vegas,36.17,-115.14,43.95,46.99,48.0,1.0,3.36,US
467,Kulhudhuffushi,6.62,73.07,84.51,84.51,65.0,0.0,3.6,MV
468,Barranca,-10.75,-77.77,77.41,77.41,66.0,91.0,7.83,PE
469,Houma,29.6,-90.72,76.71,78.8,88.0,75.0,13.87,US
470,Lata,40.16,-8.33,63.81,66.99,49.0,66.0,5.99,PT
471,Solnechnyy,50.72,136.63,14.23,14.23,85.0,0.0,7.11,RU
472,Mayo,38.89,-76.51,53.13,55.0,93.0,90.0,11.41,US
473,Taihecun,45.8,130.85,29.07,29.07,78.0,0.0,7.49,CN
474,Cururupu,-1.83,-44.87,84.87,84.87,75.0,99.0,8.37,BR
475,Kenai,60.55,-151.26,19.92,23.0,66.0,1.0,9.17,US
476,Saint Anthony,45.02,-93.22,44.37,46.99,81.0,90.0,8.05,US
478,Palauig,15.44,119.9,80.92,80.92,69.0,30.0,3.74,PH
479,Bubaque,11.28,-15.83,80.91,80.91,52.0,58.0,12.8,GW
480,Meïganga,6.52,14.3,93.81,93.81,18.0,99.0,2.71,CM
482,Isangel,-19.55,169.27,78.82,78.82,82.0,82.0,18.43,VU
483,Hazorasp,41.32,61.07,64.4,64.4,11.0,0.0,13.87,UZ
484,Baijiantan,45.63,85.18,50.36,50.36,40.0,0.0,8.37,CN
485,Klaksvík,62.23,-6.59,37.4,37.4,55.0,100.0,10.29,FO
486,Mirik,26.89,88.18,62.46,62.46,32.0,0.0,4.36,IN
487,Muros,42.78,-9.06,62.85,68.0,38.0,20.0,3.36,ES
488,Puerto Escondido,15.85,-97.07,90.81,90.81,36.0,0.0,3.87,MX
489,Adrar,20.5,-10.07,85.71,85.71,12.0,0.0,10.92,MR
490,Pingliang,35.54,106.69,40.08,40.08,53.0,100.0,5.3,CN
491,Bathsheba,13.22,-59.52,84.2,84.2,62.0,75.0,18.34,BB
492,Ixtapa,20.7,-105.2,68.0,68.0,88.0,90.0,4.7,MX
493,San Policarpo,12.18,125.51,80.15,80.15,79.0,88.0,8.43,PH
496,Swan River,52.11,-101.27,34.43,34.43,73.0,51.0,13.71,CA
497,Poum,-20.23,164.02,78.75,78.75,74.0,94.0,15.35,NC
498,Labuhan,-6.88,112.21,80.65,80.65,79.0,98.0,3.33,ID
499,Mount Gambier,-37.83,140.77,66.2,66.2,37.0,100.0,6.93,AU
500,Nianzishan,47.52,122.88,31.62,31.62,73.0,0.0,7.2,CN
501,Pokhara,28.23,83.98,64.36,64.36,24.0,15.0,4.36,NP
502,Narsaq,60.92,-46.05,48.2,48.2,29.0,75.0,18.34,GL
503,Egvekinot,66.32,-179.17,-12.68,-12.68,68.0,0.0,3.56,RU
504,Camotán,14.82,-89.37,87.01,87.01,42.0,29.0,1.32,GT
505,Garh Maharaja,30.83,71.91,64.78,64.78,59.0,15.0,6.4,PK
506,Gogrial,8.53,28.1,105.89,105.89,10.0,100.0,6.17,SS
507,Indianola,41.36,-93.56,48.36,50.0,100.0,90.0,12.75,US
508,Port Hawkesbury,45.62,-61.35,34.54,37.0,94.0,1.0,17.22,CA
509,Prince Rupert,54.32,-130.32,39.2,39.2,93.0,90.0,10.29,CA
510,Kasangulu,-4.59,15.17,95.0,95.0,50.0,40.0,9.17,CD
511,Yazman,29.12,71.74,74.55,74.55,43.0,73.0,13.27,PK
512,Kunming,25.04,102.72,71.11,73.99,42.0,1.0,17.9,CN
513,Benito Juarez,19.39,-99.17,54.0,66.2,54.0,20.0,4.7,MX
514,Santa Rosalía,27.32,-112.28,58.48,58.48,40.0,0.0,11.5,MX
516,Shache,38.42,77.24,55.26,55.26,22.0,100.0,6.46,CN
517,Peterhead,57.51,-1.8,41.25,44.01,56.0,75.0,14.99,GB
518,Samarai,-10.62,150.67,80.58,80.58,79.0,96.0,3.27,PG
519,Témiscaming,46.72,-79.1,31.6,32.0,71.0,90.0,9.17,CA
520,Mossamedes,-15.2,12.15,77.59,77.59,71.0,5.0,16.2,AO
521,Tabou,4.42,-7.35,86.4,86.4,66.0,75.0,7.31,CI
522,Vanimo,-2.67,141.3,79.92,79.92,83.0,99.0,8.34,PG
523,Santa Isabel Rio Negro,-0.41,-65.02,89.2,89.2,60.0,100.0,3.94,BR
524,Paray-le-Monial,46.45,4.12,60.84,62.01,47.0,59.0,3.36,FR
525,Nome,64.5,-165.41,3.42,3.42,89.0,100.0,9.78,US
526,Bogo,11.05,124.01,78.8,78.8,78.0,5.0,7.29,PH
528,Ikalamavony,-21.15,46.58,72.45,72.45,67.0,10.0,0.94,MG
529,Córdoba,-31.41,-64.18,64.98,68.0,93.0,90.0,5.82,AR
530,Maesteg,51.61,-3.66,50.7,53.01,57.0,75.0,20.8,GB
531,Hurghada,27.26,33.81,80.6,80.6,28.0,0.0,24.16,EG
532,Tupik,54.43,119.93,26.91,26.91,85.0,100.0,7.09,RU
533,Şabyā,17.15,42.63,89.6,89.6,62.0,72.0,18.34,SA
534,Emerald,-23.53,148.17,74.68,75.2,73.0,0.0,12.75,AU
535,Vostok,46.49,135.88,15.62,15.62,87.0,24.0,8.72,RU
536,Palmer,42.16,-72.33,43.12,46.99,64.0,75.0,4.7,US
537,Chala,-7.58,31.27,71.6,71.6,64.0,75.0,14.99,TZ
538,Raudeberg,61.99,5.14,34.23,36.0,69.0,70.0,23.04,NO
539,Barra Patuca,15.8,-84.28,80.24,80.24,75.0,35.0,7.61,HN
540,Āsmār,35.03,71.36,53.29,53.29,42.0,61.0,4.36,AF
541,Clyde River,70.47,-68.59,17.6,17.6,67.0,90.0,25.28,CA
542,Lubyany,56.04,51.4,50.0,50.0,53.0,20.0,13.42,RU
544,Yerbogachën,61.28,108.01,24.19,24.19,93.0,100.0,10.0,RU
545,Hualmay,-11.1,-77.61,77.77,77.77,65.0,73.0,7.14,PE
546,Montevideo,-34.83,-56.17,75.36,77.0,73.0,75.0,11.41,UY
547,La Ronge,55.1,-105.28,26.6,26.6,86.0,75.0,4.7,CA
548,Merritt,50.11,-120.79,46.4,46.4,70.0,75.0,20.8,CA
549,Ust'-Kulom,61.69,53.69,34.32,34.32,89.0,99.0,7.34,RU
551,Karasburg,-28.02,18.75,87.49,87.49,9.0,0.0,18.25,NA
552,Kemlya,54.7,45.24,43.38,43.38,84.0,100.0,7.18,RU
553,Northam,51.03,-4.22,51.84,55.4,58.0,20.0,23.04,GB
554,Makokou,0.57,12.86,93.76,93.76,34.0,25.0,2.26,GA
555,Aranos,-24.13,19.12,89.69,89.69,14.0,69.0,9.57,NA
556,Laranjal Paulista,-23.05,-47.84,80.38,80.38,52.0,2.0,5.53,BR
558,Campbell River,50.02,-125.24,44.37,46.4,93.0,90.0,9.17,CA
560,Togur,58.36,82.83,24.53,24.53,96.0,96.0,7.67,RU
561,Fayetteville,35.05,-78.88,70.16,72.0,83.0,1.0,9.17,US
562,San Miguel de Cozumel,20.51,-86.95,79.45,81.0,78.0,5.0,14.0,MX
563,Beyneu,45.32,55.2,55.76,55.76,38.0,0.0,8.86,KZ
565,Saint-Pierre,-21.34,55.48,78.08,82.4,74.0,90.0,12.75,RE
566,Felanitx,39.47,3.15,62.22,64.4,55.0,20.0,8.05,ES
567,Paita,-5.09,-81.11,62.6,62.6,100.0,86.0,16.11,PE
568,Wajima,37.4,136.9,41.72,41.72,82.0,100.0,21.47,JP
569,San Cristobal,7.77,-72.22,77.0,77.0,69.0,75.0,2.24,VE
570,Tangshan,39.63,118.18,42.13,42.13,53.0,0.0,6.82,CN
571,Blackwater,-23.58,148.88,68.38,68.38,85.0,0.0,9.22,AU
572,Kushima,31.46,131.23,55.45,57.2,93.0,75.0,4.7,JP
573,Nhulunbuy,-12.23,136.77,80.6,80.6,83.0,28.0,5.82,AU
574,Madīnat Sittah Uktūbar,29.82,31.05,69.39,69.8,37.0,75.0,13.87,EG
575,Morgan City,29.7,-91.21,76.12,79.0,94.0,90.0,13.27,US
576,Evensk,61.95,159.23,15.6,15.6,91.0,100.0,21.03,RU
577,Sinop Province,41.77,34.87,47.17,47.17,76.0,98.0,7.7,TR
578,Tūkrah,32.53,20.58,68.09,68.09,39.0,0.0,16.4,LY
579,Quang Ngai,15.12,108.8,76.73,76.73,88.0,18.0,10.07,VN
581,Lethem,3.38,-59.8,93.58,93.58,41.0,77.0,11.68,GY
582,Jiazi,22.88,116.07,66.97,66.97,78.0,98.0,18.84,CN
583,Irbeyskoye,55.64,95.45,26.64,26.64,92.0,4.0,9.26,RU
584,High Level,58.52,-117.14,-11.2,-11.2,76.0,20.0,16.11,CA
585,Brookings,44.31,-96.8,38.95,39.2,100.0,90.0,10.29,US
586,Dwārka,22.24,68.97,74.98,74.98,75.0,0.0,14.5,IN
587,Grand-Santi,4.25,-54.38,90.82,90.82,50.0,92.0,3.96,GF
588,São Félix do Xingu,-6.64,-51.99,73.8,73.8,90.0,100.0,3.71,BR
589,Qazvin,36.28,50.0,59.0,59.0,54.0,75.0,6.93,IR
590,Concepción,-36.83,-73.05,57.2,57.2,87.0,40.0,3.36,CL
591,Boa Vista,2.82,-60.67,84.2,84.2,58.0,75.0,17.22,BR
592,Shahreza,32.03,51.88,54.61,54.61,31.0,81.0,3.4,IR
593,Youghal,51.95,-7.85,51.35,52.0,62.0,40.0,24.16,IE
594,Endicott,42.1,-76.05,40.73,44.01,51.0,90.0,9.17,US
595,Gurupi,-11.73,-49.07,82.11,82.11,75.0,100.0,8.37,BR
597,Asău,46.43,26.4,59.88,60.8,29.0,74.0,11.41,RO
598,Deir Ḥannā,32.86,35.36,67.06,68.0,45.0,40.0,12.75,IL
599,Mandalgovi,45.76,106.27,32.43,32.43,35.0,0.0,9.24,MN
600,Petrozavodsk,61.78,34.35,48.2,48.2,39.0,80.0,15.66,RU
601,Nouadhibou,20.93,-17.03,77.0,77.0,44.0,0.0,17.22,MR
602,North Bend,43.41,-124.22,46.06,48.0,93.0,90.0,8.05,US
603,Maniitsoq,65.42,-52.9,32.59,32.59,95.0,100.0,16.17,GL
604,Defiance,41.33,-84.45,45.32,48.2,93.0,90.0,8.05,US
605,Nabire,-3.37,135.48,77.43,77.43,87.0,100.0,2.17,ID
606,Macia,-25.03,33.1,76.71,76.71,60.0,17.0,9.64,MZ
607,Brae,60.4,-1.35,37.99,39.2,55.0,60.0,24.16,GB
609,Zlobin,45.29,14.65,62.46,66.2,29.0,39.0,8.05,HR
610,Severodvinsk,64.56,39.83,42.8,42.8,56.0,40.0,8.95,RU
611,Puerto Carreño,6.19,-67.49,84.2,84.2,48.0,23.0,11.41,CO
